district,DEM_Candidate,DEM_Total,DEM_Party,REP_Candidate,REP_Total,REP_Party,overspend,district_total
84,Forest-W Blanton,24352.61,0.0,Dana-Lee Trabulsy,332452.87,84525.2,308100.26,356805.48
119,Gabriel Gonzalez,146917.25999999998,0.0,Juan-Carlos Porras,296857.0399999999,96845.01000000001,149939.77999999994,443774.29999999993
12,,0.0,0.0,Wyman Duggan,130430.63,570.63,130430.63,130430.63
79,,0.0,0.0,Mike Giallombardo,108063.17000000001,75.12,108063.17000000001,108063.17000000001
103,Robin Bartleman,157975.09999999998,2.0,George Navarini,19143.189999999995,0.0,138831.90999999997,177118.28999999998
16,,0.0,0.0,Kiyan Michael,76313.84,10358.140000000001,76313.84,76313.84
108,Evan-A Shields,97779.4,0.0,,0.0,0.0,97779.4,97779.4
60,Lindsay Cross,372495.00000000006,54481.329999999994,Audrey Henson,207400.97999999998,127940.64,165094.02000000008,579895.98
48,,0.0,0.0,Sam Killebrew,31087.64,87.64,31087.64,31087.64
19,Adam Morley,10314.359999999999,0.0,Paul Renner,271714.83999999997,38700.54,261400.47999999998,282029.19999999995
111,,0.0,0.0,David Borrero,152123.64,87.64,152123.64,152123.64
51,,0.0,0.0,Josie Tomkow,225999.68000000002,25100.16,225999.68000000002,225999.68000000002
69,Andrew Learned,432749.7300000001,91410.26000000002,Daniel-Danny Alvarez,349833.54,127141.86,82916.19000000012,782583.27
10,,0.0,0.0,Chuck Brannan,54677.68,0.0,54677.68,54677.68
28,John-Clifford Navarra,9723.489999999998,0.0,Tom Leek,417610.97,113275.12,407887.48,427334.45999999996
94,Terence Davis,21337.52,0.0,Rick Roth,249373.91,95790.1,228036.39,270711.43
68,Lorissa Wright,13125.32,0.0,Lawrence McClure,245577.22,154.23000000000002,232451.9,258702.54
86,Raymond Denzel,6889.0,0.0,John Snyder,214623.09999999998,322.87,207734.09999999998,221512.09999999998
55,,0.0,0.0,Kevin-M Steele,496538.65,10507.650000000001,496538.65,496538.65
21,Yvonne-Hayes Hinson,81537.07,0.0,Hollye Merton,9848.0,0.0,71689.07,91385.07
17,Michael Anderson,11550.77,0.0,Jessica Baker,461433.51,10363.51,449882.74,472984.28
56,,0.0,0.0,Brad Yeager,180560.0,0.0,180560.0,180560.0
115,Christie-Cantin Davis,14344.679999999993,0.0,Alina Garcia,671449.1400000001,197949.26,657104.4600000002,685793.8200000001
8,Gallop-P Franklin,153650.0,0.0,Curt Bender,21500.28,0.0,132149.72,175150.28
14,Kimberly Daniels,63921.8,0.0,,0.0,0.0,63921.8,63921.8
85,Curtis-J Tucker,9801.21,0.0,Toby Overdorf,240267.74000000002,19800.16,230466.53000000003,250068.95
